name,class,dmg,dmgPlus,dps,pellets,burstFire,singleShot,dpsTotal,ammo,reload,dpsMag,bulletVel,bulletCycle,falloffStart,falloffEnd,accuracy,recoil,meleeLt,meleeHv,meleeBase,meleeResist,hp,hpPlus,maxHp,hpRegen,speed,sprint,staminaCD,sp,dashSpeed,moveBucket,spPlus,spPlus2,spRatio,spRatio2,staminaSP,bonusStat,bonusStatVal,critResist,critBonus,rangeBonus,airAccel,airControl,gravity
Abrams,"Spreadshot, Close Range",3.6,0.1,1.59,9,1,32.4,51.516,9,0.7,291.6,609.82,,17,40,,,50,116,1.7,,810,55,2735,2.5,6.4,1.6,4.5,3,14.3,Bucket 3,1.1,,,,,,,,,,,,
Apollo,"Projectile, Mid Range",18.5,0.82,2.63,1,1,18.5,48.655,15,2.5,277.5,127.05,,25,25,,,63,116,1.6,,780,50,2530,2,7.2,1.6,4.5,3,14.7,Bucket 2,1.1,,,,,,,,,,,,
Bebop,"Beam, Mid Range",4.98,0.14,11.9,1,1,4.98,59.262,66,2.35,328.68,508,,20,51,,,63,116,1.6,,890,58,2920,2.5,6.45,4,5.5,3,14.3,Bucket 3,1.1,,,,,Bullet Res+,0.3,,,1.5,,,
Billy,"Close Range, Rapid Fire",6.3,0.17,11.8,1,1,6.3,74.34,30,2.9,189,513,,14,32,,,50,116,1.6,,830,48,2510,2.5,7,1.6,4.5,3,14.7,Bucket 2,1.1,,,,,,,,-0.2,,,,
Calico,"Spreadshot, Close Range",1.84,0.05,4.76,9,1,16.56,78.8256,12,2.6,198.72,318,,20,58,,,63,116,1.6,,740,42,2210,2,6.8,1.6,4.5,3,16.1,Bucket 1,1.1,,,,,,,,,,,,
Celeste,"Projectile, Mid Range",18,0.82,1.67,1,1,18,30.06,8,2,144,50,0.58,22,60,,,50,116,1.6,,700,38,2030,1,6.2,1.6,4.5,4,16.1,Bucket 1,1.1,,,,,,,,,,0.12,0.44,-0.25
Doorman,"Heavy Hitter, Mid Range",29,1.1,1.47,1,1,29,42.63,8,2.4,232,203,,20,58,,,50,116,1.6,,765,47,2410,1,7.9,1.6,4.5,3,16.1,Bucket 1,1.1,,,,,,,,,,,,
Drifter,"Spreadshot, Close Range",19.5,0.62,2.27,1,1,19.5,44.265,12,2.44,234,508,,22,27,,,52,120,1.6,,765,44,2305,3.5,6.9,1.6,4.5,3,14.7,Bucket 2,1.1,,,,,,,,,,,,
Dynamo,"Projectile, Heavy Hitter, Mid Range",12.6,0.5,3.81,1,1,12.6,48.006,20,2.35,252,320,,20,58,,,50,116,1.6,,890,67,3235,1.75,6.7,1.6,4.5,3,14.3,Bucket 3,1.1,,,,,Bullet Res+,0.625,,,,,,
Graves,"Beam, Close Range",4,0.06,9.8,1,1,4,39.2,40,2.8,160,635,,8,17,,,50,116,1.6,,740,38,2070,1,7,1.6,4.5,2,14.7,Bucket 2,1.1,,,,,Bullet Lifesteal,0.08,,,,,,
Grey Talon,"Mid Range, Heavy Hitter, Projectile",23.5,1,1.73,1,1,23.5,40.655,17,2.35,399.5,495,,18,54,,,50,116,1.6,,790,43,2295,1.5,6.3,1.6,4.5,4,16.1,Bucket 1,1.1,0.08,,,0.008,,,,,,,,
Haze,"Close Range, Rapid Fire",5.26,0.14,9.52,1,1,5.26,50.0752,25,2.35,131.5,762,,20,46,,,50,116,1.6,,740,38,2070,2,8.2,1.6,4.5,3,16.1,Bucket 1,0.5,0.5,,,,,,,,,,,
Holliday,"Mid Range, Heavy Hitter",18.8,1.14,2.12,1,1,18.8,39.856,10,2.75,188,635,,20,58,,,50,116,1.6,,790,46,2400,1,8.2,1.6,4.5,2,16.1,Bucket 1,1.1,,,,,,,,,,,,
Infernus,"Rapid Fire, Mid Range",5.5,0.09,9.52,1,1,5.5,52.36,27,2.25,148.5,660,,18,55,,,50,116,1.6,,840,44,2380,2,6.7,1.6,4.5,3,14.7,Bucket 2,1.1,,,,,,,,,,,,
Ivy,"Rapid Fire, Mid Range",4.45,0.08,13.6,1,1,4.45,60.52,33,2.44,146.85,572,,20,58,,,50,116,1.6,,765,50,2515,2,7.2,1.6,4.5,4,16.1,Bucket 1,1.2,,,,,,,,,,,,-0.1
Kelvin,"Mid Range, Heavy Hitter, Projectile",18.6,0.42,3.81,1,1,18.6,70.866,14,2.58,260.4,160,,20,58,,,50,116,1.6,,890,66,3200,1,6.7,1.1,5.5,3,14.3,Bucket 3,1.3,,,,,Spirit Res+,0.625,,-0.25,,,,
Lady Geist,"Mid Range, Heavy Hitter",20.7,1,2.12,1,1,20.7,43.884,9,2.58,186.3,828,,17,48,,,50,116,1.6,,890,57,2885,1,6.3,2.4,4.5,3,14.3,Bucket 3,1.1,,,,,,,,,,,,
Lash,"Mid Range, Burst Fire",8.46,0.34,5.83,1,3,8.46,49.3218,29,2.35,245.34,635,,20,58,,,50,116,1.6,,790,56,2750,2,7.2,2.1,4.5,3,14.7,Bucket 2,1.1,,,,,Spirit Res,0.1,,,,,,
McGinnis,"Rapid Fire, Mid Range",6.4,0.17,11.9,1,1,6.4,76.16,66,3.29,422.4,650,,20,58,,,50,116,1.6,,790,58,2820,2,6.7,1.6,4.5,2,14.7,Bucket 2,1.1,,,,,Spirit Res+,0.625,,,,,,
Mina,"Mid Range, Burst Fire",7.31,0.28,3.97,1,1,7.31,29.0207,12,1.7,87.72,762,,20,46,,,50,116,1.6,,670,31,1755,2,6.5,1.6,4.2,2,16.1,Bucket 1,1.1,,,,,,,,,,,,
Mirage,"Mid Range, Heavy Hitter",14.8,0.3,2.72,1,1,14.8,40.256,16,2.6,236.8,828,,20,58,,,50,116,1.6,,740,50,2490,1.5,7,1.6,4.5,3,14.7,Bucket 2,1.1,,,,,,,,,,,,
Mo & Krill,"Spreadshot, Rapid Fire",2.82,0.0845,5.29,4,1,11.28,59.6712,20,2.82,225.6,320,,20,58,,,50,116,1.6,,940,71,3425,1,8,1.6,4.5,3,14.3,Bucket 3,1.1,,,,,,,0.2,,,,,
Paige,"Rapid Fire, Long Range",35,0.52,1.67,1,1,35,58.45,14,2.5,490,43,,20,58,,,42,120,1.2,,690,32,1810,2,6.9,3.5,4.5,3,14.3,Bucket 3,1.1,0.3,,,,,,,,,,,
Paradox,"Mid Range, Burst Fire",6.8,0.26,7.56,1,5,6.8,51.408,40,2.58,272,525.19,,20,58,,,50,116,1.6,,740,51,2525,1,6.7,1.6,4.5,3,16.1,Bucket 1,1.1,,,,,,,,,,,,
Pocket,"Close Range, Spreadshot",4.28,0.2,1.9,7,1,29.96,56.924,11,2.82,329.56,559,,16,46,,,60,116,1.6,,790,41,2225,1,7.2,1.6,4.5,3,14.7,Bucket 2,1.1,,,,,Spirit Res,-0.15,,,,,,
Rem,"Mid Range, Burst Fire",16,0.34,3.85,1,1,16,61.6,13,2,208,160,,20,58,,,58,116,1.6,-0.05,690,32,1810,2,7.2,4,4.5,3,14.7,Bucket 2,1.1,,,,,Melee Res,-0.05,,-0.2,,,,
Seven,"Burst Fire, Mid Range",10.8,0.37,5.83,1,3,10.8,62.964,29,2.35,313.2,635,,20,58,,,50,116,1.6,,740,46,2350,1,6.7,1.8,4.5,3,14.7,Bucket 2,1.1,,,,,,,0.35,,,,,
Shiv,"Close Range, Spreadshot",4.8,0.165,1.81,6,3,28.8,52.128,10,2.8,288,610,,20,41,,,50,116,1.6,,840,51,2625,2,6.5,1.6,5.5,3,14.3,Bucket 3,1.1,,,,,,,,,,,,
Silver,"Mid Range, Spreadshot",5.4,0.124,1.11,7,1,37.8,41.958,7,0.5,264.6,813,,20,46,,,50,116,1.6,,840,32,1960,2.5,6.7,1.5,4.5,2,14.7,Bucket 2,1.1,,,,,,,,,,,,
Sinclair,"Long Range, Burst Fire, Projectile",17.8,0.55,2.72,1,2,17.8,48.416,16,2.5,284.8,300,,25,61,,,50,116,1.6,,740,43,2245,2,7.2,1.6,4.5,3,14.7,Bucket 2,1.3,,,,,,,,,,,,
Venator,"Mid Range, Rapid Fire",8,0.27,7.94,1,1,8,63.52,33,2.8,264,1588,,20,51,,,50,125,1.7,,790,43,2295,2,6.4,1.5,4.5,3,14.3,Bucket 3,1.1,0.122,,,0.122,,,,,,,,
Victor,"Mid Range, Projectile",13,0.31,5.85,1,1,13,76.05,24,2.4,312,203,,20,58,,,50,116,1.6,,810,39,2175,1.5,6.3,1.1,4.5,3,14.3,Bucket 3,1.1,0.08,,,,,,,,,,,
Vindicta,"Long Range, Rapid Fire",12.3,0.5,4.33,1,1,12.3,53.259,19,2.91,233.7,660,,20,64,,,50,116,1.6,,765,32,1885,2,7.9,1.6,4.5,2,14.7,Bucket 2,1.1,0.022,,,,,,,,,,,
Viscous,"Mid Range, Projectile",10.3,0.36,4.76,1,5,10.3,49.028,20,2.5,206,254,,20,58,,,63,116,1.6,,790,50,2540,2,7.2,1.6,4.5,3,14.7,Bucket 2,1.3,,,,,,,,,,,,
