id,name,cat,cost,active,duration,castRange,cooldown,desc,stat_type,stat_val,cond_type,cond_val
1,Close Quarters,Weapon,800,Passive,,,,Deal additional Weapon Damage when in close range to your target. 15.0m Close Range,Melee Resist %,20,Weapon Damage %,20
157,Tester,Weapon,800,Passive,,,,something,Weapon Damage %,2,Move Speed m/s,1.75
2,Extended Magazine,Weapon,800,Passive,,,,,Max Ammo %,30,,
,,,,,,,,,Weapon Damage %,8,,
3,Headshot Booster,Weapon,800,Passive,,,,Deal bonus Weapon Damage with headshots. +45 Headshot Bonus Damage,Bonus Health,40,,
4,High-Velocity Rounds,Weapon,800,Passive,,,,,Bullet Velocity %,60,,
,,,,,,,,,Weapon Damage %,8,,
5,Monster Rounds,Weapon,800,Passive,,,,,Weapon Damage % vs NPCs,25,,
,,,,,,,,,Bullet Resist % vs NPCs,25,,
,,,,,,,,,Out of Combat Regen,1,,
6,Rapid Rounds,Weapon,800,Passive,,,,,Fire Rate %,10,,
7,Restorative Shot,Weapon,800,Passive,,,,Your next bullet will heal you based on what target you hit. 50 Healing from Heroes. 15 Healing from NPCs / Orbs,Weapon Damage %,6,,
8,Active Reload,Weapon,1600,Passive,,,,"While reloading, pressing [R] during the highlighted portion will instantly finish your reload and grant you Fire Rate and Bullet Lifesteal. +0.75m/s Movement Speed. 7s Duration",Max Ammo %,20,Fire Rate %,25
,,,,,,,,,Move Speed m/s,0.75,Bullet Lifesteal %,14
9,Stalker,Weapon,1600,Passive,,,,"Attacking enemies from behind with your weapon or melee opens a wound dealing spirit damage over time and reducing their bullet resist. During this time, if you or any allies are near the target, will see them through walls and be given bonus move speed. 17 Damage Per Second. -6 Bullet Resist. 1.5m Move Speed. 5s Debuff Duration. 25m Bonus Radius",Bonus Health,75,,
10,Fleetfoot,Weapon,1600,Active,,,,Removes the Move Speed penalty while shooting. | Gain bonus Move Speed and Slow Resistance. +35% Slow Resist. 6s Duration. (16s),Slide Distance %,35,Move Speed m/s,3.25
,,,,,,,,,Bullet Resist %,6,,
11,Intensifying Magazine,Weapon,1600,Passive,,,,Increases Weapon Damage as you continuously fire your weapon. 2.5s Time for Max Damage,Max Ammo %,20,Weapon Damage %,45
12,Kinetic Dash,Weapon,1600,Passive,,,,When you Dash-Jump you gain Fire Rate and bonus Ammo until your next reload. Lasts up to 7s. 7s Duration,Stamina,1,Fire Rate %,30
,,,,,,,,,Stamina Recovery %,12,,
13,Long Range,Weapon,1600,Passive,,,,Deal additional Weapon Damage when beyond a minimum distance from your target. 15.0m Min. Distance,Sprint Speed m/s,0.75,Weapon Damage %,40
,,,,,,,,,Fall Off Range %,8,,
14,Melee Charge,Weapon,1600,Passive,,,,Your next Heavy Melee attack against an enemy deals increased damage. +25% Bonus Heavy Damage. (7s),Heavy Melee Distance %,50,,
,,,,,,,,,Melee Damage %,10,,
,,,,,,,,,Bullet Resist %,6,,
15,Mystic Shot,Weapon,1600,Passive,,,,Your next bullet deals bonus Spirit Damage. +40 Spirit Damage. (8s),Spirit Power,7,,
16,Opening Rounds,Weapon,1600,Passive,,,,Your attacks have additional Weapon Damage against enemies above 50% health.,Spirit Power,7,Weapon Damage %,30
17,Slowing Bullets,Weapon,1600,Passive,,,,Your bullets build up a Movement Slow on enemies. -25% Dash Distance. +3.5s Debuff Duration. +27% Buildup Per Shot,Weapon Damage %,15,,
18,Spirit Shredder Bullets,Weapon,1600,Passive,,,,Your Bullets apply a debuff that reduces the Spirit Resist of the target and grants you and your allies Spirit Lifesteal against them. 8s Debuff Duration,,,Spirit Resist %,-8
,,,,,,,,,,,Spirit Lifesteal %,10
19,Split Shot,Weapon,1600,Active,,,,Hitting more than one Hero per attack will grant a stacking weapon damage bonus. Targets can only be hit once per multishot. +8% Weapon Damage per Stack. 5s Buff Duration. 5 Max Stacks. 12s Stack Duration | Make your weapon fire multishot. (27s),,,,
20,Swift Striker,Weapon,1600,Passive,,,,,Fire Rate %,20,,
,,,,,,,,,Sprint Speed m/s,0.75,,
21,Titanic Magazine,Weapon,1600,Passive,,,,,Max Ammo %,100,,
,,,,,,,,,Weapon Damage %,14,,
22,Weakening Headshot,Weapon,1600,Passive,,,,Upon landing a Headshot reduce target's Bullet Resist. -13% Bullet Resist. 12s Debuff Duration,Bonus Health,60,,
23,Recharging Rush,Weapon,1600,Passive,,,,Dealing significant weapon damage replenishes a charge for each of your charged abilities. 200 Damage Threshold. 3.5s Time Frame. (24s),Max Ammo %,20,,
,,,,,,,,,Weapon Damage flat,10,,
24,Alchemical Fire,Weapon,3200,Active,,,,"Throw a flask that explodes on contact, creating an area that does increasing Spirit Damage per second and reduces enemy Bullet Resist. 50% less effective vs non-heroes. 46 DPS. -7% Bullet Resist. 97 Max DPS. 10m Radius. 5s Duration. (30s)",Spirit Power,10,,
25,Berserker,Weapon,3200,Passive,,,,Your Weapon Damage increases as you take sustained damage. +7% Weapon Damage per Stack. 120 Damage taken to Stack. 10 Max Stacks. 10s Duration,Bullet Resist %,8,,
26,Blood Tribute,Weapon,3200,Active,,,,"Toggle: Continually sacrifice Health to improve fire rate, Debuff Resistance and Move Speed. Healing received is reduced during the sacrifice. 50/s Health Drain. +40% Fire Rate. +35% Debuff Resist. +2 m/s Move Speed. -30% Healing Reduction",Spirit Resist %,9,,
,,,,,,,,,Out of Combat Regen,4,,
27,Burst Fire,Weapon,3200,Passive,,,,Briefly gain Fire Rate and Move Speed when one of your bullets hits an enemy hero. 4.5s Duration. (9s),Slide Distance %,50,Fire Rate %,35
,,,,,,,,,,,Move Speed m/s,1.25
28,Cultist Sacrifice,Weapon,3200,Active,,,,Target an enemy NPC and consume it for 150% Bonus Souls and grants a powerful long lasting buff. +12% Ability Range. 160s Duration. (260s),Out of Combat Regen,2,Weapon Damage %,8
,,,,,,,,,Weapon Damage % vs NPCs,30,Bonus Health,75
,,,,,,,,,Bullet Resist % vs NPCs,30,,
29,Escalating Resilience,Weapon,3200,Passive,,,,Grants Bullet Resist when your bullets hit an enemy hero. Each shot can only grant one stack. 30% Max Bullet Resist. 2% Bullet Resist per Stack. 24s Stack Duration,Max Ammo %,30,,
,,,,,,,,,Bonus Health,100,,
,,,,,,,,,Weapon Damage %,15,,
30,Express Shot,Weapon,3200,Passive,,,,"After not attacking for 3s, your next attack will fire twice in quick succession with increased damage and velocity. This attack consumes extra ammo. +100% Bullet Velocity. 40% Extra Ammo Consumed. (3s)",Bullet Velocity %,50,Weapon Damage %,170
,,,,,,,,,Fire Rate %,5,,
31,Headhunter,Weapon,3200,Passive,,,,"Landing a headshot deals bonus damage, heals you and briefly grants you bonus move speed. +75 Bonus Head Shot Damage. 4% Heal per Headshot. 3s Move Speed Duration. (8s)",Weapon Damage %,5,Move Speed m/s,1.75
,,,,,,,,,Bonus Health,75,,
32,Heroic Aura,Weapon,3200,Active,,,,Provides Fire Rate to nearby player minions. 30m Radius | Provides bonus Move Speed and Fire Rate to you and nearby allies. 30m Active Radius. 7s Duration. (22s),Move Speed m/s,1.5,Move Speed m/s,2.25
,,,,,,,,,Bullet Resist %,17,Fire Rate %,30
33,Hollow Point,Weapon,3200,Passive,,,,"When you are above 65% health, deal additional Weapon Damage and your bullets reduce enemy Bullet Resist. 8s Debuff Duration",Out of Combat Regen,4.5,Weapon Damage %,35
,,,,,,,,,Bonus Health,150,Bullet Resist %,-9
34,Hunter's Aura,Weapon,3200,Passive,,,,"Reduces nearby enemies' Bullet Resist and Fire Rate. If there is only one enemy hero nearby, this effect is tripled. 15.0m Radius",Bonus Health,125,Bullet Resist %,-10
